Date,Nowcast
06/03/2025,2.4
06/02/2025,2.4
05/30/2025,2.4
05/29/2025,2.4
05/28/2025,2.4
05/27/2025,2.4
05/23/2025,2.4
05/22/2025,2.4
05/21/2025,2.4
05/20/2025,2.4
05/19/2025,2.38
05/16/2025,2.38
05/15/2025,2.38
05/14/2025,2.38
05/13/2025,2.4
05/12/2025,2.34
05/09/2025,2.34
05/08/2025,2.34
05/07/2025,2.34
05/06/2025,2.34
05/05/2025,2.34
05/02/2025,2.34
05/01/2025,2.34
04/30/2025,2.34
04/29/2025,2.35
04/28/2025,2.35
04/25/2025,2.35
04/24/2025,2.35
04/23/2025,2.35
04/22/2025,2.38
04/21/2025,2.38
04/18/2025,2.38
04/17/2025,2.38
04/16/2025,2.38
04/15/2025,2.42
04/14/2025,2.42
04/11/2025,2.42
04/10/2025,2.42
04/09/2025,2.49
04/08/2025,2.49
04/07/2025,2.49
04/04/2025,2.49
04/03/2025,2.49
04/02/2025,2.49
04/01/2025,2.49
03/31/2025,2.47
03/28/2025,2.47
03/27/2025,2.47
03/26/2025,2.47
03/25/2025,2.47
03/24/2025,2.46
03/21/2025,2.46
03/20/2025,2.46
03/19/2025,2.46
03/18/2025,2.46
03/17/2025,2.46
03/14/2025,2.46
03/13/2025,2.46
03/12/2025,2.46
03/11/2025,2.83
03/10/2025,2.83
03/07/2025,2.83
03/06/2025,2.83
03/05/2025,2.83
03/04/2025,2.83
03/03/2025,2.83
02/28/2025,2.83
02/27/2025,2.83
02/26/2025,2.83
02/25/2025,2.83
02/24/2025,2.82
02/21/2025,2.82
02/20/2025,2.82
02/19/2025,2.82
02/18/2025,2.81
02/14/2025,2.81
02/13/2025,2.81
02/12/2025,2.81
02/11/2025,2.85
02/10/2025,2.85
02/07/2025,2.85
02/06/2025,2.85
02/05/2025,2.85
02/04/2025,2.85
02/03/2025,2.85
01/31/2025,2.85
01/30/2025,2.85
01/29/2025,2.85
01/28/2025,2.85
01/27/2025,2.84
01/24/2025,2.84
01/23/2025,2.84
01/22/2025,2.84
01/21/2025,2.82
01/17/2025,2.82
01/16/2025,2.82
01/15/2025,2.82
01/14/2025,2.86
01/13/2025,2.86
01/10/2025,2.86
01/09/2025,2.86
01/08/2025,2.86
01/07/2025,2.86
01/06/2025,2.86
01/03/2025,2.86
01/02/2025,2.86
12/31/2024,2.86
12/30/2024,2.86
12/27/2024,2.86
12/26/2024,2.86
12/24/2024,2.86
12/23/2024,2.86
12/20/2024,2.86
12/19/2024,2.86
12/18/2024,2.86
12/17/2024,2.86
12/16/2024,2.86
12/13/2024,2.86
12/12/2024,2.86
12/11/2024,2.86
12/10/2024,2.7
12/09/2024,2.7
12/06/2024,2.7
12/05/2024,2.7
12/04/2024,2.7
12/03/2024,2.7
12/02/2024,2.7
11/29/2024,2.7
11/27/2024,2.7
11/26/2024,2.7
11/25/2024,2.7
11/22/2024,2.7
11/21/2024,2.7
11/20/2024,2.7
11/19/2024,2.7
11/18/2024,2.71
11/15/2024,2.71
11/14/2024,2.71
11/13/2024,2.71
11/12/2024,2.56
11/08/2024,2.56
11/07/2024,2.56
11/06/2024,2.56
11/05/2024,2.56
11/04/2024,2.56
11/01/2024,2.56
10/31/2024,2.56
10/30/2024,2.56
10/29/2024,2.56
10/28/2024,2.57
10/25/2024,2.57
10/24/2024,2.57
10/23/2024,2.57
10/22/2024,2.57
10/21/2024,2.57
10/18/2024,2.57
10/17/2024,2.57
10/16/2024,2.57
10/15/2024,2.55
10/11/2024,2.55
10/10/2024,2.55
10/09/2024,2.25
10/08/2024,2.25
10/07/2024,2.25
10/04/2024,2.25
10/03/2024,2.25
10/02/2024,2.25
10/01/2024,2.25
09/30/2024,2.25
09/27/2024,2.25
09/26/2024,2.25
09/25/2024,2.25
09/24/2024,2.25
09/23/2024,2.27
09/20/2024,2.27
09/19/2024,2.27
09/18/2024,2.27
09/17/2024,2.27
09/16/2024,2.29
09/13/2024,2.29
09/12/2024,2.29
09/11/2024,2.29
09/10/2024,2.56
09/09/2024,2.56
09/06/2024,2.56
09/05/2024,2.56
09/04/2024,2.56
09/03/2024,2.56
08/30/2024,2.56
08/29/2024,2.56
08/28/2024,2.56
08/27/2024,2.56
08/26/2024,2.59
08/23/2024,2.59
08/22/2024,2.59
08/21/2024,2.59
08/20/2024,2.59
08/19/2024,2.6
08/16/2024,2.6
08/15/2024,2.6
08/14/2024,2.6
08/13/2024,3.01
08/12/2024,3.01
08/09/2024,3.01
08/08/2024,3.01
08/07/2024,3.01
08/06/2024,3.01
08/05/2024,3.01
08/02/2024,3.01
08/01/2024,3.01
07/31/2024,3.01
07/30/2024,3.01
07/29/2024,3.01
07/26/2024,3.01
07/25/2024,3.01
07/24/2024,3.01
07/23/2024,3.01
07/22/2024,3.01
07/19/2024,3.01
07/18/2024,3.01
07/17/2024,3.01
07/16/2024,3.01
07/15/2024,3.01
07/12/2024,3.01
07/11/2024,3.01
07/10/2024,3.12
07/09/2024,3.12
07/08/2024,3.12
07/05/2024,3.12
07/03/2024,3.12
07/02/2024,3.12
07/01/2024,3.12
06/28/2024,3.12
06/27/2024,3.12
06/26/2024,3.12
06/25/2024,3.12
06/24/2024,3.13
06/21/2024,3.13
06/20/2024,3.13
06/18/2024,3.13
06/17/2024,3.15
06/14/2024,3.15
06/13/2024,3.15
06/12/2024,3.15
06/11/2024,3.36
06/10/2024,3.36
06/07/2024,3.36
06/06/2024,3.36
06/05/2024,3.36
06/04/2024,3.36
06/03/2024,3.36
05/31/2024,3.36
05/30/2024,3.36
05/29/2024,3.36
05/28/2024,3.37
05/24/2024,3.37
05/23/2024,3.37
05/22/2024,3.37
05/21/2024,3.37
05/20/2024,3.39
05/17/2024,3.39
05/16/2024,3.39
05/15/2024,3.39
05/14/2024,3.5
05/13/2024,3.5
05/10/2024,3.5
05/09/2024,3.5
05/08/2024,3.5
05/07/2024,3.5
05/06/2024,3.5
05/03/2024,3.5
05/02/2024,3.5
05/01/2024,3.5
04/30/2024,3.5
04/29/2024,3.49
04/26/2024,3.49
04/25/2024,3.49
04/24/2024,3.49
04/23/2024,3.49
04/22/2024,3.46
04/19/2024,3.46
04/18/2024,3.46
04/17/2024,3.46
04/16/2024,3.46
04/15/2024,3.43
04/12/2024,3.43
04/11/2024,3.43
04/10/2024,3.43
04/09/2024,3.41
04/08/2024,3.41
04/05/2024,3.41
04/04/2024,3.41
04/03/2024,3.41
04/02/2024,3.41
04/01/2024,3.41
03/29/2024,3.41
03/28/2024,3.41
03/27/2024,3.41
03/26/2024,3.41
03/25/2024,3.37
03/22/2024,3.37
03/21/2024,3.37
03/20/2024,3.37
03/19/2024,3.37
03/18/2024,3.33
03/15/2024,3.33
03/14/2024,3.33
03/13/2024,3.33
03/12/2024,3.33
03/11/2024,3.12
03/08/2024,3.12
03/07/2024,3.12
03/06/2024,3.12
03/05/2024,3.12
03/04/2024,3.12
03/01/2024,3.12
02/29/2024,3.12
02/28/2024,3.12
02/27/2024,3.12
02/26/2024,3.11
02/23/2024,3.11
02/22/2024,3.11
02/21/2024,3.11
02/20/2024,3.06
02/16/2024,3.06
02/15/2024,3.06
02/14/2024,3.06
02/13/2024,3.06
02/12/2024,2.94
02/09/2024,2.94
02/08/2024,2.96
02/07/2024,2.96
02/06/2024,2.96
02/05/2024,2.96
02/02/2024,2.96
02/01/2024,2.96
01/31/2024,2.96
01/30/2024,2.96
01/29/2024,2.96
01/26/2024,2.96
01/25/2024,2.96
01/24/2024,2.96
01/23/2024,2.96
01/22/2024,2.96
01/19/2024,2.96
01/18/2024,2.96
01/17/2024,2.96
01/16/2024,2.97
01/12/2024,2.97
01/11/2024,2.97
01/10/2024,3.32
01/09/2024,3.32
01/08/2024,3.32
01/05/2024,3.32
01/04/2024,3.32
01/03/2024,3.32
01/02/2024,3.32
12/29/2023,3.32
12/28/2023,3.32
12/27/2023,3.32
12/26/2023,3.33
12/22/2023,3.33
12/21/2023,3.33
12/20/2023,3.33
12/19/2023,3.33
12/18/2023,3.38
12/15/2023,3.38
12/14/2023,3.38
12/13/2023,3.38
12/12/2023,3.38
12/11/2023,3.04
12/08/2023,3.04
12/07/2023,3.04
12/06/2023,3.04
12/05/2023,3.04
12/04/2023,3.04
12/01/2023,3.04
11/30/2023,3.04
11/29/2023,3.04
11/28/2023,3.04
11/27/2023,3.07
11/24/2023,3.07
11/22/2023,3.07
11/21/2023,3.07
11/20/2023,3.1
11/17/2023,3.1
11/16/2023,3.1
11/15/2023,3.1
11/14/2023,3.1
11/13/2023,3.28
11/10/2023,3.28
11/09/2023,3.28
11/08/2023,3.28
11/07/2023,3.28
11/06/2023,3.28
11/03/2023,3.28
11/02/2023,3.28
11/01/2023,3.28
10/31/2023,3.28
10/30/2023,3.32
10/27/2023,3.32
10/26/2023,3.32
10/25/2023,3.32
10/24/2023,3.32
10/23/2023,3.36
10/20/2023,3.36
10/19/2023,3.36
10/18/2023,3.36
10/17/2023,3.36
10/16/2023,3.42
10/13/2023,3.42
10/12/2023,3.42
10/11/2023,3.69
10/10/2023,3.69
10/06/2023,3.69
10/05/2023,3.69
10/04/2023,3.69
10/03/2023,3.69
10/02/2023,3.69
09/29/2023,3.69
09/28/2023,3.69
09/27/2023,3.69
09/26/2023,3.69
09/25/2023,3.69
09/22/2023,3.69
09/21/2023,3.69
09/20/2023,3.69
09/19/2023,3.69
09/18/2023,3.66
09/15/2023,3.66
09/14/2023,3.66
09/13/2023,3.66
09/12/2023,3.82
09/11/2023,3.82
09/08/2023,3.82
09/07/2023,3.82
09/06/2023,3.82
09/05/2023,3.82
09/01/2023,3.82
08/31/2023,3.82
08/30/2023,3.82
08/29/2023,3.82
08/28/2023,3.83
08/25/2023,3.83
08/24/2023,3.83
08/23/2023,3.83
08/22/2023,3.83
08/21/2023,3.82
08/18/2023,3.82
08/17/2023,3.82
08/16/2023,3.82
08/15/2023,3.82
08/14/2023,3.81
08/11/2023,3.81
08/10/2023,3.81
08/09/2023,3.42
08/08/2023,3.42
08/07/2023,3.42
08/04/2023,3.42
08/03/2023,3.42
08/02/2023,3.42
08/01/2023,3.42
07/31/2023,3.37
07/28/2023,3.37
07/27/2023,3.37
07/26/2023,3.37
07/25/2023,3.37
07/24/2023,3.36
07/21/2023,3.36
07/20/2023,3.36
07/19/2023,3.36
07/18/2023,3.36
07/17/2023,3.35
07/14/2023,3.35
07/13/2023,3.35
07/12/2023,3.35
07/11/2023,3.22
07/10/2023,3.22
07/07/2023,3.22
07/06/2023,3.22
07/05/2023,3.22
07/03/2023,3.22
06/30/2023,3.22
06/29/2023,3.22
06/28/2023,3.22
06/27/2023,3.22
06/26/2023,3.22
06/23/2023,3.22
06/22/2023,3.22
06/21/2023,3.22
06/20/2023,3.22
06/16/2023,3.22
06/15/2023,3.22
06/14/2023,3.22
06/13/2023,3.22
06/12/2023,4.13
06/09/2023,4.13
06/08/2023,4.13
06/07/2023,4.13
06/06/2023,4.13
06/05/2023,4.13
06/02/2023,4.13
06/01/2023,4.13
05/31/2023,4.13
05/30/2023,4.12
05/26/2023,4.12
05/25/2023,4.12
05/24/2023,4.12
05/23/2023,4.12
05/22/2023,4.13
05/19/2023,4.13
05/18/2023,4.13
05/17/2023,4.13
05/16/2023,4.13
05/15/2023,4.14
05/12/2023,4.14
05/11/2023,4.14
05/10/2023,4.14
05/09/2023,5.19
05/08/2023,5.19
05/05/2023,5.19
05/04/2023,5.19
05/03/2023,5.19
05/02/2023,5.19
05/01/2023,5.19
04/28/2023,5.19
04/27/2023,5.19
04/26/2023,5.19
04/25/2023,5.19
04/24/2023,5.17
04/21/2023,5.17
04/20/2023,5.17
04/19/2023,5.17
04/18/2023,5.17
04/17/2023,5.12
04/14/2023,5.12
04/13/2023,5.12
04/12/2023,5.12
04/11/2023,5.22
04/10/2023,5.22
04/07/2023,5.22
04/06/2023,5.22
04/05/2023,5.22
04/04/2023,5.22
04/03/2023,5.22
03/31/2023,5.22
03/30/2023,5.22
03/29/2023,5.22
03/28/2023,5.22
03/27/2023,5.22
03/24/2023,5.22
03/23/2023,5.22
03/22/2023,5.22
03/21/2023,5.22
03/20/2023,5.22
03/17/2023,5.22
03/16/2023,5.22
03/15/2023,5.22
03/14/2023,5.22
03/13/2023,6.21
03/10/2023,6.21
03/09/2023,6.21
03/08/2023,6.21
03/07/2023,6.21
03/06/2023,6.21
03/03/2023,6.21
03/02/2023,6.21
03/01/2023,6.21
02/28/2023,6.21
02/27/2023,6.23
02/24/2023,6.23
02/23/2023,6.23
02/22/2023,6.23
02/21/2023,6.24
02/17/2023,6.24
02/16/2023,6.24
02/15/2023,6.24
02/14/2023,6.24
02/13/2023,6.48
02/10/2023,6.48
02/09/2023,6.44
02/08/2023,6.44
02/07/2023,6.44
02/06/2023,6.44
02/03/2023,6.44
02/02/2023,6.44
02/01/2023,6.44
01/31/2023,6.44
01/30/2023,6.39
01/27/2023,6.39
01/26/2023,6.39
01/25/2023,6.39
01/24/2023,6.39
01/23/2023,6.34
01/20/2023,6.34
01/19/2023,6.34
01/18/2023,6.34
01/17/2023,6.31
01/13/2023,6.31
01/12/2023,6.31
01/11/2023,6.64
01/10/2023,6.64
01/09/2023,6.64
01/06/2023,6.64
01/05/2023,6.64
01/04/2023,6.64
01/03/2023,6.64
12/30/2022,6.64
12/29/2022,6.64
12/28/2022,6.64
12/27/2022,6.69
12/23/2022,6.69
12/22/2022,6.69
12/21/2022,6.69
12/20/2022,6.69
12/16/2022,6.77
12/15/2022,6.77
12/14/2022,6.77
12/13/2022,6.77
12/12/2022,7.49
12/09/2022,7.49
12/08/2022,7.49
